,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,0.0,0.0,0.006890210655213273,0.0,0.0,4.906344092746039e-05,3.0,0.0,0.00017143320588568602,6.0,0.0,0.00018272972779725634,9.0,0.0,0.0001470036567882627
1,1.0,0.04,0.03429708201305272,1.0,0.0003,0.0004868269088681052,4.0,0.0005,0.0006430731610935148,7.0,0.001,0.0005221835627474409,10.0,0.0007,0.000367350819117944
2,2.0,0.0887,0.08535949722524518,2.0,0.0027,0.0024152447802068783,5.0,0.0021,0.0019298155844769606,8.0,0.0012,0.001305705518906495,11.0,0.0008,0.0008345285556151766
3,3.0,0.1385,0.1416300034654777,3.0,0.0083,0.007988338691575215,6.0,0.0045,0.004826029674650276,9.0,0.0031,0.0029021159500698963,12.0,0.0016,0.0017378521685581221
4,4.0,0.1756,0.17624627487583225,4.0,0.0191,0.01981586573779441,7.0,0.0115,0.010344687532965578,10.0,0.0053,0.00580532836778788,13.0,0.0034,0.003340583658170983
5,5.0,0.1744,0.17545858164257672,5.0,0.038,0.039324174910351915,8.0,0.0217,0.019402282299920214,11.0,0.0122,0.01055713644103241,14.0,0.0062,0.005962758099124191
6,6.0,0.1458,0.14556200735643787,6.0,0.0659,0.06503167515876547,9.0,0.0316,0.032347128878892406,12.0,0.0199,0.01759855128642044,15.0,0.0095,0.009933648907207753
7,7.0,0.1062,0.10350817898664089,7.0,0.0934,0.09218143692444514,10.0,0.0531,0.048535685517820656,13.0,0.0255,0.02707980892158421,16.0,0.0179,0.01551463983370866
8,8.0,0.0665,0.06440348273387941,8.0,0.1155,0.11433259455675207,11.0,0.0626,0.06620547593137871,14.0,0.0419,0.03869274931794922,17.0,0.0239,0.02280581783894701
9,9.0,0.0313,0.03561980322165601,9.0,0.1281,0.12605036920628468,12.0,0.0846,0.0827824155943313,15.0,0.0521,0.051600078266522915,18.0,0.0332,0.031661101524912146
10,10.0,0.0167,0.0177303042463238,10.0,0.1148,0.12507217276730717,13.0,0.0925,0.09554768558701544,16.0,0.0617,0.0645122824377298,19.0,0.0427,0.04164139727599174
11,11.0,0.0098,0.00802321028382025,11.0,0.1114,0.11281960680578731,14.0,0.1016,0.10240415191472442,17.0,0.0786,0.07591114040479895,20.0,0.0522,0.052029322714687146
12,12.0,0.0043,0.003328063476355773,12.0,0.097,0.09328673822222074,15.0,0.1004,0.10243579333137166,18.0,0.0807,0.08436164516684562,21.0,0.0602,0.061912986303079336
13,13.0,0.0014,0.0012743036316855653,13.0,0.0702,0.07120215338883167,16.0,0.0935,0.09606322924196586,19.0,0.0863,0.08881850713978226,22.0,0.07,0.07032535704887373
14,14.0,0.0006,0.0004530744346938346,14.0,0.0509,0.05046399923939632,17.0,0.0887,0.0847878630037951,20.0,0.0892,0.0888352856940007,23.0,0.0763,0.07640767489287582
15,15.0,0.0002,0.00015034984001013736,15.0,0.0338,0.03338158690657963,18.0,0.0693,0.07067838436617625,21.0,0.0819,0.08462101658840653,24.0,0.0752,0.07955704008785248
16,,,,16.0,0.0218,0.020701583576849363,19.0,0.056,0.05581596550651791,22.0,0.0806,0.07694272927433798,25.0,0.0771,0.07952276693352393
17,,,,17.0,0.0133,0.012082901060920892,20.0,0.0411,0.041874908880485534,23.0,0.0635,0.06691936034383557,26.0,0.0737,0.07643125821544319
18,,,,18.0,0.0077,0.00666062965559697,21.0,0.0294,0.029919891162668105,24.0,0.058,0.055776668306006735,27.0,0.0719,0.07073919596964456
19,,,,19.0,0.0047,0.0034783898743665064,22.0,0.0211,0.020406229077697704,25.0,0.0448,0.04462976398579211,28.0,0.067,0.06313278708973757
20,,,,20.0,0.0018,0.0017256981556589166,23.0,0.0148,0.013312522376277414,26.0,0.0343,0.03433707301473224,29.0,0.0536,0.05440137025842474
21,,,,21.0,0.0008,0.0008153838638280967,24.0,0.0086,0.008322897346921014,27.0,0.0249,0.025439673757940078,30.0,0.0423,0.04531494513399586
22,,,,22.0,0.0003,0.0003677528137454526,25.0,0.0051,0.004995281401816891,28.0,0.017,0.01817462823125402,31.0,0.0366,0.03652856731144588
23,,,,23.0,0.0002,0.00015865170389065984,26.0,0.0029,0.0028827835801408315,29.0,0.0134,0.012536594185921656,32.0,0.0291,0.028525649072781985
24,,,,,,,27.0,0.0015,0.001602041288327445,30.0,0.0087,0.008359308301841333,33.0,0.0212,0.021601030477127636
25,,,,,,,28.0,0.0005,0.0008585015872212689,31.0,0.0058,0.0053941209320376125,34.0,0.017,0.015876268204582968
26,,,,,,,29.0,0.0004,0.0004441897509926405,32.0,0.0039,0.0033719624539469886,35.0,0.0133,0.011335306222814494
27,,,,,,,30.0,0.0001,0.00022216349963273812,33.0,0.0021,0.0020439996640489017,36.0,0.0081,0.007868349288566074
28,,,,,,,31.0,0.0002,0.00010753168305146685,34.0,0.0013,0.0012025798779848737,37.0,0.0052,0.0053141618956260355
29,,,,,,,32.0,0.0,5.042105100085141e-05,35.0,0.0002,0.0006873183173252242,38.0,0.0034,0.0034946529973155826
30,,,,,,,33.0,0.0,2.2925741083475316e-05,36.0,0.0005,0.00038191564303779736,39.0,0.0026,0.002239197116422289
31,,,,,,,34.0,0.0,1.011742270994287e-05,37.0,0.0003,0.00020647988652815503,40.0,0.0018,0.0013988952942664823
32,,,,,,,35.0,0.0,4.337378078010824e-06,38.0,0.0001,0.0001086941538394116,41.0,0.0009,0.0008526174698169029
33,,,,,,,36.0,0.0001,1.8077992773880272e-06,,,,42.0,0.0006,0.0005072917633390508
34,,,,,,,,,,,,,43.0,0.0005,0.0002948100128869846
35,,,,,,,,,,,,,44.0,0.0,0.0001674335277284936
36,,,,,,,,,,,,,45.0,0.0002,9.297855411320011e-05
37,,,,,,,,,,,,,46.0,0.0001,5.051005379008718e-05
